acad_yr,2Y-Finance,2Y-Consulting,2Y-Product/Marketing,1Y-Finance,1Y-Consulting,1Y-Product/Marketing
2016,0.356,0.401,0.132,0.375,0.342,0.128
2017,0.353,0.372,0.137,0.39,0.331,0.16
2018,0.362,0.404,0.116,0.356,0.373,0.158
2019,0.347,0.448,0.114,0.361,0.325,0.19
2020,0.303,0.425,0.142,0.395,0.341,0.146
2021,0.362,0.405,0.119,0.339,0.386,0.146
2022,0.339,0.386,0.146,0.339,0.386,0.146
