Section,Program
81,Evening
85,Weekend
82,Evening
88,Executive
87,Executive
1,Full-Time
2,Full-Time
3,Full-Time
83,Evening
4,Full-Time
5,Full-Time
6,Full-Time
7,Full-Time
8,Full-Time
50,PhD
60,Workshop
86,Weekend
