Sequence,Quarter,Year
1,Autumn,2016
2,Winter,2017
3,Spring,2017
4,Summer,2017
5,Autumn,2017
6,Winter,2018
7,Spring,2018
8,Summer,2018
9,Autumn,2018
10,Winter,2019
11,Spring,2019
12,Summer,2019
13,Autumn,2019
14,Winter,2020
15,Spring,2020
16,Summer,2020
17,Autumn,2020
18,Winter,2021
19,Spring,2021
20,Summer,2021
21,Autumn,2021
22,Winter,2022
23,Spring,2022
24,Summer,2022
25,Autumn,2022
26,Winter,2023
